Motions - Vessel 1
Time	Surge - Vessel 1	Sway - Vessel 1	Heave - Vessel 1	Roll - Vessel 1	Pitch - Vessel 1	Yaw - Vessel 1
2000-01-01 00:00:29	0.000314145	0.00182218	0.000617218	0.000947666	-2.32956E-05	-0.000740853
2000-01-01 00:00:29	0.000316528	0.00182138	0.000618539	0.00108222	-2.39393E-05	-0.000748625
2000-01-01 00:00:30	0.00031885	0.00182077	0.000620052	0.00119042	-2.46421E-05	-0.000755164
2000-01-01 00:00:30	0.000321095	0.00182034	0.00062171	0.00127017	-2.53783E-05	-0.000760382
2000-01-01 00:00:30	0.000323221	0.0018201	0.000623462	0.00132	-2.60804E-05	-0.000764121
2000-01-01 00:00:30	0.000325178	0.00182005	0.000625253	0.00133911	-2.66813E-05	-0.00076625
2000-01-01 00:00:31	0.00032692	0.00182016	0.000627029	0.00132734	-2.71178E-05	-0.000766696
2000-01-01 00:00:31	0.000328404	0.00182039	0.00062874	0.00128514	-2.73341E-05	-0.00076539
2000-01-01 00:00:31	0.000329595	0.00182066	0.000630339	0.00121363	-2.72841E-05	-0.000762297
2000-01-01 00:00:31	0.000330465	0.00182093	0.000631786	0.00111446	-2.6933E-05	-0.000757464
2000-01-01 00:00:32	0.000331005	0.00182114	0.000633046	0.000989872	-2.62596E-05	-0.000750968
2000-01-01 00:00:32	0.000331205	0.0018212	0.000634095	0.000842459	-2.52916E-05	-0.000742973
2000-01-01 00:00:32	0.000331085	0.00182105	0.000634916	0.000675187	-2.41052E-05	-0.00073376
2000-01-01 00:00:32	0.000330691	0.00182061	0.000635501	0.000491384	-2.27827E-05	-0.000723628
2000-01-01 00:00:33	0.000330085	0.00181986	0.000635851	0.00029468	-2.14071E-05	-0.000712884
2000-01-01 00:00:33	0.000329334	0.0018188	0.000635972	8.89299E-05	-2.00582E-05	-0.000701837
2000-01-01 00:00:33	0.000328513	0.00181747	0.000635878	-0.000121858	-1.88093E-05	-0.00069079
2000-01-01 00:00:33	0.000327697	0.00181591	0.000635589	-0.0003336	-1.77243E-05	-0.000680038
2000-01-01 00:00:34	0.000326957	0.00181421	0.00063513	-0.000542207	-1.68558E-05	-0.000669861
2000-01-01 00:00:34	0.000326354	0.00181247	0.000634528	-0.000743609	-1.6216E-05	-0.000660422
2000-01-01 00:00:34	0.00032592	0.00181083	0.000633812	-0.000933832	-1.57774E-05	-0.000651775
2000-01-01 00:00:34	0.00032567	0.00180941	0.000633016	-0.00110913	-1.55041E-05	-0.000643956
2000-01-01 00:00:35	0.000325609	0.00180831	0.000632171	-0.00126604	-1.53545E-05	-0.000636991
2000-01-01 00:00:35	0.000325737	0.0018076	0.000631306	-0.00140149	-1.52853E-05	-0.000630894
2000-01-01 00:00:35	0.000326045	0.00180734	0.000630452	-0.00151281	-1.52534E-05	-0.000625664
2000-01-01 00:00:35	0.000326516	0.00180752	0.000629634	-0.00159784	-1.52181E-05	-0.000621238
2000-01-01 00:00:36	0.000327121	0.00180814	0.000628876	-0.00165494	-1.51429E-05	-0.000617543
2000-01-01 00:00:36	0.000327834	0.00180913	0.000628199	-0.00168306	-1.5029E-05	-0.000614633
2000-01-01 00:00:36	0.000328645	0.00181039	0.000627619	-0.00168175	-1.49148E-05	-0.000612639
2000-01-01 00:00:36	0.000329557	0.0018118	0.000627148	-0.00165115	-1.48415E-05	-0.000611666
2000-01-01 00:00:37	0.00033057	0.00181329	0.000626796	-0.00159196	-1.48492E-05	-0.000611796
2000-01-01 00:00:37	0.000331683	0.00181476	0.000626568	-0.00150547	-1.49753E-05	-0.000613078
2000-01-01 00:00:37	0.000332892	0.00181617	0.000626467	-0.00139345	-1.52523E-05	-0.000615535
2000-01-01 00:00:37	0.00033418	0.00181747	0.000626491	-0.0012582	-1.57057E-05	-0.000619143
2000-01-01 00:00:38	0.000335542	0.00181866	0.000626636	-0.00110247	-1.6355E-05	-0.00062387
2000-01-01 00:00:38	0.00033697	0.00181974	0.0006269	-0.000929322	-1.71738E-05	-0.000629558
2000-01-01 00:00:38	0.000338412	0.00182079	0.000627276	-0.000742135	-1.80908E-05	-0.000635945
2000-01-01 00:00:38	0.000339819	0.00182186	0.000627759	-0.000544553	-1.90336E-05	-0.000642763
2000-01-01 00:00:39	0.000341161	0.00182303	0.000628339	-0.000340414	-1.99342E-05	-0.000649739
2000-01-01 00:00:39	0.000342426	0.00182433	0.000629005	-0.000133654	-2.07312E-05	-0.000656602
2000-01-01 00:00:39	0.00034361	0.00182578	0.000629743	7.17507E-05	-2.13722E-05	-0.000663104
2000-01-01 00:00:39	0.000344726	0.00182739	0.000630535	0.000271895	-2.18155E-05	-0.000669003
2000-01-01 00:00:40	0.000345776	0.00182916	0.000631364	0.000462996	-2.20291E-05	-0.000674088
2000-01-01 00:00:40	0.000346759	0.00183103	0.000632208	0.000641398	-2.20229E-05	-0.000678275
2000-01-01 00:00:40	0.000347713	0.00183291	0.000633045	0.000803657	-2.18483E-05	-0.000681593
2000-01-01 00:00:40	0.00034866	0.0018347	0.000633851	0.000946647	-2.15605E-05	-0.000684094
2000-01-01 00:00:41	0.00034962	0.00183632	0.000634607	0.00106763	-2.12156E-05	-0.000685853
2000-01-01 00:00:41	0.000350604	0.00183766	0.000635294	0.00116428	-2.08674E-05	-0.000686942
2000-01-01 00:00:41	0.000351621	0.00183866	0.000635897	0.00123477	-2.05652E-05	-0.00068744
2000-01-01 00:00:41	0.000352679	0.00183926	0.000636404	0.00127774	-2.03512E-05	-0.000687431
2000-01-01 00:00:42	0.000353782	0.00183941	0.000636807	0.0012924	-2.02595E-05	-0.000687006
2000-01-01 00:00:42	0.00035493	0.00183912	0.0006371	0.00127853	-2.02856E-05	-0.000686163
2000-01-01 00:00:42	0.000356088	0.00183844	0.000637285	0.00123653	-2.03854E-05	-0.000684819
2000-01-01 00:00:42	0.000357233	0.00183745	0.000637363	0.00116731	-2.05121E-05	-0.000682912
2000-01-01 00:00:43	0.000358331	0.0018362	0.00063734	0.00107232	-2.06172E-05	-0.000680405
2000-01-01 00:00:43	0.000359356	0.00183477	0.000637225	0.000953509	-2.06539E-05	-0.000677283
2000-01-01 00:00:43	0.000360291	0.00183323	0.000637027	0.000813278	-2.05804E-05	-0.000673558
2000-01-01 00:00:43	0.00036113	0.00183164	0.000636758	0.000654433	-2.03611E-05	-0.000669264
2000-01-01 00:00:44	0.000361874	0.00183004	0.000636428	0.000480144	-1.99683E-05	-0.00066449
2000-01-01 00:00:44	0.000362531	0.00182844	0.00063605	0.000293815	-1.94183E-05	-0.000659431
2000-01-01 00:00:44	0.000363152	0.00182681	0.000635633	9.8999E-05	-1.87722E-05	-0.000654338
2000-01-01 00:00:44	0.000363778	0.00182511	0.00063519	-0.000100594	-1.8092E-05	-0.000649456
2000-01-01 00:00:45	0.000364458	0.00182331	0.000634729	-0.000301183	-1.74396E-05	-0.00064498
2000-01-01 00:00:45	0.000365217	0.00182139	0.000634259	-0.000498982	-1.68707E-05	-0.000641088
2000-01-01 00:00:45	0.000366103	0.00181934	0.000633788	-0.000690256	-1.64368E-05	-0.000637968
2000-01-01 00:00:45	0.000367166	0.00181717	0.000633324	-0.000871412	-1.61813E-05	-0.000635785
