dir	vel
207.8	7.31
206.4	7.31
207.8	7.31
219	6.2
223.2	5.64
224.6	6.76
227.4	7.31
214.8	5.64
226	6.76
227.4	6.2
223.2	5.64
196.5	5.64
207.8	7.31
231.6	6.76
217.6	5.64
219	5.64
217.6	5.64
200.8	7.31
207.8	5.64
217.6	6.2
224.6	6.2
228.8	5.64
221.8	6.2
226	5.64
199.4	6.76
207.8	5.64
210.6	6.2
209.2	6.2
209.2	6.76
203.6	6.2
217.6	6.2
220.4	6.2
212	6.2
213.4	5.08
206.4	7.9
210.6	6.76
226	5.64
200.8	6.2
221.8	6.2
216.2	5.08
231.6	5.08
241.5	6.2
226	6.76
220.4	6.2
209.2	5.64
223.2	6.2
226	5.64
206.4	4.5
210.6	4.5
224.6	5.08
210.6	5.08
231.6	5.08
233.1	5.08
242.9	2.82
220.4	3.94
224.6	3.94
249.9	4.5
234.5	4.5
244.3	3.94
227.4	5.08
237.3	4.5
214.8	3.94
221.8	4.5
249.9	3.38
235.9	2.26
228.8	3.94
224.6	4.5
214.8	3.94
214.8	5.08
221.8	5.08
224.6	4.5
226	4.5
234.5	4.5
223.2	3.94
213.4	3.94
235.9	3.38
249.9	3.38
221.8	4.5
205	3.38
224.6	4.5
212	4.5
224.6	3.94
228.8	5.08
224.6	4.5
240.1	4.5
238.7	3.94
233.1	3.94
240.1	3.94
235.9	3.94
240.1	3.38
244.3	3.38
259.7	3.38
240.1	5.08
238.7	2.82
240.1	3.94
227.4	3.38
241.5	3.94
206.4	3.38
251.3	3.38
219	4.5
231.6	3.94
234.5	3.38
242.9	3.94
240.1	4.5
249.9	5.08
238.7	3.38
223.2	3.38
245.7	5.08
245.7	5.64
245.7	3.94
237.3	5.08
233.1	5.08
238.7	4.5
240.1	3.94
245.7	4.5
221.8	4.5
221.8	3.38
230.2	5.08
219	5.08
244.3	4.5
231.6	5.64
249.9	5.64
244.3	3.38
234.5	5.08
245.7	6.2
247.1	6.2
233.1	4.5
234.5	5.08
240.1	5.08
240.1	5.08
219	6.2
227.4	4.5
217.6	5.08
235.9	4.5
247.1	5.08
210.6	3.38
219	3.94
226	4.5
223.2	2.82
241.5	3.38
226	3.38
247.1	3.38
227.4	2.82
231.6	3.38
227.4	3.94
209.2	2.82
242.9	3.38
237.3	2.26
266.7	1.7
249.9	2.26
252.7	2.26
244.3	2.26
235.9	2.26
242.9	3.94
234.5	2.26
237.3	2.82
248.5	3.38
254.1	3.94
224.6	2.26
235.9	2.82
226	2.82
242.9	3.94
240.1	2.26
251.3	5.64
240.1	2.26
217.6	1.12
249.9	3.94
256.9	3.94
261.1	5.08
259.7	6.2
261.1	6.2
265.3	4.5
261.1	3.94
259.7	4.5
261.1	5.08
251.3	5.08
251.3	5.08
217.6	3.38
255.5	5.08
255.5	4.5
255.5	5.08
255.5	4.5
254.1	5.08
238.7	4.5
259.7	5.64
262.5	4.5
263.9	6.76
249.9	6.2
252.7	4.5
233.1	3.94
258.3	5.08
259.7	3.94
252.7	3.94
259.7	3.38
261.1	3.94
262.5	5.08
259.7	4.5
268.1	3.94
262.5	3.38
263.9	2.82
269.6	2.82
268.1	4.5
263.9	3.38
263.9	4.5
263.9	4.5
271	3.94
266.7	2.26
266.7	2.82
262.5	3.38
265.3	2.82
265.3	2.26
266.7	3.38
263.9	2.82
263.9	3.94
263.9	4.5
265.3	3.94
254.1	2.26
263.9	1.7
258.3	3.38
258.3	3.94
258.3	3.94
266.7	3.94
269.6	4.5
273.8	2.82
275.2	2.26
275.2	3.38
266.7	4.5
265.3	2.82
258.3	3.38
268.1	2.82
261.1	3.38
265.3	4.5
265.3	3.94
263.9	3.38
265.3	2.82
271	2.82
261.1	3.38
259.7	4.5
263.9	3.94
271	3.94
262.5	5.08
259.7	3.94
258.3	3.94
265.3	3.94
268.1	4.5
252.7	3.94
262.5	4.5
259.7	3.38
244.3	3.38
247.1	4.5
262.5	3.94
256.9	4.5
258.3	4.5
256.9	3.94
258.3	5.64
247.1	3.38
251.3	2.82
245.7	3.38
238.7	3.94
255.5	4.5
262.5	3.94
259.7	4.5
268.1	4.5
261.1	5.64
259.7	5.64
256.9	5.64
259.7	6.2
263.9	5.08
269.6	5.08
263.9	4.5
262.5	5.64
263.9	4.5
261.1	5.08
265.3	2.82
259.7	5.08
261.1	3.38
261.1	2.26
261.1	4.5
254.1	3.38
252.7	2.26
259.7	3.38
251.3	3.94
252.7	3.38
256.9	2.82
252.7	1.7
254.1	2.82
254.1	2.82
256.9	3.38
258.3	3.38
261.1	4.5
259.7	4.5
262.5	2.82
249.9	1.12
256.9	2.82
259.7	3.38
254.1	3.38
258.3	2.26
251.3	2.82
261.1	3.94
255.5	3.38
259.7	2.82
245.7	2.26
249.9	3.38
258.3	3.94
251.3	3.94
266.7	2.82
252.7	2.82
261.1	2.82
258.3	2.82
238.7	3.38
238.7	3.38
255.5	3.94
238.7	2.82
248.5	2.82
249.9	3.38
247.1	2.82
254.1	2.82
245.7	1.7
234.5	1.7
251.3	2.26
259.7	2.26
258.3	2.26
262.5	3.38
261.1	3.38
262.5	3.94
263.9	4.5
268.1	4.5
263.9	5.08
258.3	3.38
261.1	5.08
265.3	3.38
262.5	3.94
263.9	3.94
